title,couplet number,couplet
Sonnet I,0,"FROM fairest creatures we desire increase,/That thereby beauty's rose might never die,"
Sonnet I,1,"But as the riper should by time decease,/His tender heir might bear his memory:"
Sonnet I,2,"But thou, contracted to thine own bright eyes,/Feed'st thy light'st flame with self-substantial fuel,"
Sonnet I,3,"Making a famine where abundance lies,/Thyself thy foe, to thy sweet self too cruel."
Sonnet I,4,"Thou that art now the world's fresh ornament/And only herald to the gaudy spring,"
Sonnet I,5,"Within thine own bud buriest thy content/And, tender churl, makest waste in niggarding."
Sonnet I,6,"  Pity the world, or else this glutton be,/  To eat the world's due, by the grave and thee."
Sonnet II,0,"When forty winters shall beseige thy brow,/And dig deep trenches in thy beauty's field,"
Sonnet II,1,"Thy youth's proud livery, so gazed on now,/Will be a tatter'd weed, of small worth held:"
Sonnet II,2,"Then being ask'd where all thy beauty lies,/Where all the treasure of thy lusty days,"
Sonnet II,3,"To say, within thine own deep-sunken eyes,/Were an all-eating shame and thriftless praise."
Sonnet II,4,"How much more praise deserved thy beauty's use,/If thou couldst answer 'This fair child of mine"
Sonnet II,5,"Shall sum my count and make my old excuse,'/Proving his beauty by succession thine!"
Sonnet II,6,"  This were to be new made when thou art old,/  And see thy blood warm when thou feel'st it cold."
Sonnet III,0,"Look in thy glass, and tell the face thou viewest/Now is the time that face should form another;"
Sonnet III,1,"Whose fresh repair if now thou not renewest,/Thou dost beguile the world, unbless some mother."
Sonnet III,2,For where is she so fair whose unear'd womb/Disdains the tillage of thy husbandry?
Sonnet III,3,"Or who is he so fond will be the tomb/Of his self-love, to stop posterity?"
Sonnet III,4,"Thou art thy mother's glass, and she in thee/Calls back the lovely April of her prime:"
Sonnet III,5,So thou through windows of thine age shall see/Despite of wrinkles this thy golden time.
Sonnet III,6,"  But if thou live, remember'd not to be,/  Die single, and thine image dies with thee."
Sonnet IV,0,"Unthrifty loveliness, why dost thou spend/Upon thyself thy beauty's legacy?"
Sonnet IV,1,"Nature's bequest gives nothing but doth lend,/And being frank she lends to those are free."
Sonnet IV,2,"Then, beauteous niggard, why dost thou abuse/The bounteous largess given thee to give?"
Sonnet IV,3,"Profitless usurer, why dost thou use/So great a sum of sums, yet canst not live?"
Sonnet IV,4,"For having traffic with thyself alone,/Thou of thyself thy sweet self dost deceive."
