title,couplet number,couplet,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet I,0,"FROM fairest creatures we desire increase,/That thereby beauty's rose might never die,","('from', 'fairest', 'creatures', 'we', 'desire', 'increase', ',', '/', 'that', 'thereby', ""beauty's"", 'rose', 'might', 'never', 'die', ',')","('from', 'fairest', 'creatures', 'we', 'desire', 'increase', '', 'that', 'thereby', ""beauty's"", 'rose', 'might', 'never', 'die', '')","(('from', 1), ('fairest', 2), ('creatures', 2), ('we', 1), ('desire', 3), ('increase', 2), (',', 0), ('/', 0), ('that', 1), ('thereby', 2), (""beauty's"", None), ('rose', 1), ('might', 1), ('never', 2), ('die', 1), (',', 0))","(('from', 1), ('fairest', 2), ('creatures', 2), ('we', 1), ('desire', 3), ('increase', 2), ('', None), ('that', 1), ('thereby', 2), (""beauty's"", None), ('rose', 1), ('might', 1), ('never', 2), ('die', 1), ('', None))"
Sonnet I,1,"But as the riper should by time decease,/His tender heir might bear his memory:","('but', 'as', 'the', 'riper', 'should', 'by', 'time', 'decease', ',', '/', 'his', 'tender', 'heir', 'might', 'bear', 'his', 'memory', ':')","('but', 'as', 'the', 'riper', 'should', 'by', 'time', 'decease', '', 'his', 'tender', 'heir', 'might', 'bear', 'his', 'memory', '')","(('but', 1), ('as', 1), ('the', 1), ('riper', None), ('should', 1), ('by', 1), ('time', 1), ('decease', 2), (',', 0), ('/', 0), ('his', 1), ('tender', 2), ('heir', 1), ('might', 1), ('bear', 1), ('his', 1), ('memory', 3), (':', None))","(('but', 1), ('as', 1), ('the', 1), ('riper', None), ('should', 1), ('by', 1), ('time', 1), ('decease', 2), ('', None), ('his', 1), ('tender', 2), ('heir', 1), ('might', 1), ('bear', 1), ('his', 1), ('memory', 3), ('', None))"
Sonnet I,2,"But thou, contracted to thine own bright eyes,/Feed'st thy light'st flame with self-substantial fuel,","('but', 'thou', ',', 'contracted', 'to', 'thine', 'own', 'bright', 'eyes', ',', '/', ""feed'st"", 'thy', ""light'st"", 'flame', 'with', 'self', '-', 'substantial', 'fuel', ',')","('but', 'thou', '', 'contracted', 'to', 'thine', 'own', 'bright', 'eyes', '', ""feed'st"", 'thy', ""light'st"", 'flame', 'with', 'self', 'substantial', 'fuel', '')","(('but', 1), ('thou', 1), (',', 0), ('contracted', 3), ('to', 1), ('thine', 1), ('own', 1), ('bright', 1), ('eyes', 1), (',', 0), ('/', 0), (""feed'st"", None), ('thy', 1), (""light'st"", None), ('flame', 1), ('with', 1), ('self', 1), ('-', 0), ('substantial', 3), ('fuel', 2), (',', 0))","(('but', 1), ('thou', 1), ('', None), ('contracted', 3), ('to', 1), ('thine', 1), ('own', 1), ('bright', 1), ('eyes', 1), ('', None), (""feed'st"", None), ('thy', 1), (""light'st"", None), ('flame', 1), ('with', 1), ('self', 1), ('substantial', 3), ('fuel', 2), ('', None))"
Sonnet I,3,"Making a famine where abundance lies,/Thyself thy foe, to thy sweet self too cruel.","('making', 'a', 'famine', 'where', 'abundance', 'lies', ',', '/', 'thyself', 'thy', 'foe', ',', 'to', 'thy', 'sweet', 'self', 'too', 'cruel', '.')","('making', 'a', 'famine', 'where', 'abundance', 'lies', '', 'thyself', 'thy', 'foe', '', 'to', 'thy', 'sweet', 'self', 'too', 'cruel', '')","(('making', 2), ('a', 1), ('famine', 2), ('where', 1), ('abundance', 3), ('lies', 1), (',', 0), ('/', 0), ('thyself', 2), ('thy', 1), ('foe', 1), (',', 0), ('to', 1), ('thy', 1), ('sweet', 1), ('self', 1), ('too', 1), ('cruel', 2), ('.', 0))","(('making', 2), ('a', 1), ('famine', 2), ('where', 1), ('abundance', 3), ('lies', 1), ('', None), ('thyself', 2), ('thy', 1), ('foe', 1), ('', None), ('to', 1), ('thy', 1), ('sweet', 1), ('self', 1), ('too', 1), ('cruel', 2), ('', None))"
Sonnet I,4,"Thou that art now the world's fresh ornament/And only herald to the gaudy spring,","('thou', 'that', 'art', 'now', 'the', ""world's"", 'fresh', 'ornament', '/', 'and', 'only', 'herald', 'to', 'the', 'gaudy', 'spring', ',')","('thou', 'that', 'art', 'now', 'the', ""world's"", 'fresh', 'ornament', 'and', 'only', 'herald', 'to', 'the', 'gaudy', 'spring', '')","(('thou', 1), ('that', 1), ('art', 1), ('now', 1), ('the', 1), (""world's"", 1), ('fresh', 1), ('ornament', 3), ('/', 0), ('and', 1), ('only', 2), ('herald', 2), ('to', 1), ('the', 1), ('gaudy', 2), ('spring', 1), (',', 0))","(('thou', 1), ('that', 1), ('art', 1), ('now', 1), ('the', 1), (""world's"", 1), ('fresh', 1), ('ornament', 3), ('and', 1), ('only', 2), ('herald', 2), ('to', 1), ('the', 1), ('gaudy', 2), ('spring', 1), ('', None))"
Sonnet I,5,"Within thine own bud buriest thy content/And, tender churl, makest waste in niggarding.","('within', 'thine', 'own', 'bud', 'buriest', 'thy', 'content', '/', 'and', ',', 'tender', 'churl', ',', 'makest', 'waste', 'in', 'niggarding', '.')","('within', 'thine', 'own', 'bud', 'buriest', 'thy', 'content', 'and', '', 'tender', 'churl', '', 'makest', 'waste', 'in', 'niggarding', '')","(('within', 2), ('thine', 1), ('own', 1), ('bud', 1), ('buriest', None), ('thy', 1), ('content', 2), ('/', 0), ('and', 1), (',', 0), ('tender', 2), ('churl', None), (',', 0), ('makest', None), ('waste', 1), ('in', 1), ('niggarding', None), ('.', 0))","(('within', 2), ('thine', 1), ('own', 1), ('bud', 1), ('buriest', None), ('thy', 1), ('content', 2), ('and', 1), ('', None), ('tender', 2), ('churl', None), ('', None), ('makest', None), ('waste', 1), ('in', 1), ('niggarding', None), ('', None))"
Sonnet I,6,"  Pity the world, or else this glutton be,/  To eat the world's due, by the grave and thee.","('pity', 'the', 'world', ',', 'or', 'else', 'this', 'glutton', 'be', ',', '/', 'to', 'eat', 'the', ""world's"", 'due', ',', 'by', 'the', 'grave', 'and', 'thee', '.')","('', '', 'pity', 'the', 'world', '', 'or', 'else', 'this', 'glutton', 'be', '', '', '', 'to', 'eat', 'the', ""world's"", 'due', '', 'by', 'the', 'grave', 'and', 'thee', '')","(('pity', 2), ('the', 1), ('world', 1), (',', 0), ('or', 1), ('else', 1), ('this', 1), ('glutton', None), ('be', 1), (',', 0), ('/', 0), ('to', 1), ('eat', 1), ('the', 1), (""world's"", 1), ('due', 1), (',', 0), ('by', 1), ('the', 1), ('grave', 1), ('and', 1), ('thee', 1), ('.', 0))","(('', None), ('', None), ('pity', 2), ('the', 1), ('world', 1), ('', None), ('or', 1), ('else', 1), ('this', 1), ('glutton', None), ('be', 1), ('', None), ('', None), ('', None), ('to', 1), ('eat', 1), ('the', 1), (""world's"", 1), ('due', 1), ('', None), ('by', 1), ('the', 1), ('grave', 1), ('and', 1), ('thee', 1), ('', None))"
Sonnet II,0,"When forty winters shall beseige thy brow,/And dig deep trenches in thy beauty's field,","('when', 'forty', 'winters', 'shall', 'beseige', 'thy', 'brow', ',', '/', 'and', 'dig', 'deep', 'trenches', 'in', 'thy', ""beauty's"", 'field', ',')","('when', 'forty', 'winters', 'shall', 'beseige', 'thy', 'brow', '', 'and', 'dig', 'deep', 'trenches', 'in', 'thy', ""beauty's"", 'field', '')","(('when', 1), ('forty', 2), ('winters', 2), ('shall', 1), ('beseige', None), ('thy', 1), ('brow', 1), (',', 0), ('/', 0), ('and', 1), ('dig', 1), ('deep', 1), ('trenches', 2), ('in', 1), ('thy', 1), (""beauty's"", None), ('field', 1), (',', 0))","(('when', 1), ('forty', 2), ('winters', 2), ('shall', 1), ('beseige', None), ('thy', 1), ('brow', 1), ('', None), ('and', 1), ('dig', 1), ('deep', 1), ('trenches', 2), ('in', 1), ('thy', 1), (""beauty's"", None), ('field', 1), ('', None))"
Sonnet II,1,"Thy youth's proud livery, so gazed on now,/Will be a tatter'd weed, of small worth held:","('thy', ""youth's"", 'proud', 'livery', ',', 'so', 'gazed', 'on', 'now', ',', '/', 'will', 'be', 'a', ""tatter'd"", 'weed', ',', 'of', 'small', 'worth', 'held', ':')","('thy', ""youth's"", 'proud', 'livery', '', 'so', 'gazed', 'on', 'now', '', 'will', 'be', 'a', ""tatter'd"", 'weed', '', 'of', 'small', 'worth', 'held', '')","(('thy', 1), (""youth's"", 1), ('proud', 1), ('livery', 3), (',', 0), ('so', 1), ('gazed', 1), ('on', 1), ('now', 1), (',', 0), ('/', 0), ('will', 1), ('be', 1), ('a', 1), (""tatter'd"", None), ('weed', 1), (',', 0), ('of', 1), ('small', 1), ('worth', 1), ('held', 1), (':', None))","(('thy', 1), (""youth's"", 1), ('proud', 1), ('livery', 3), ('', None), ('so', 1), ('gazed', 1), ('on', 1), ('now', 1), ('', None), ('will', 1), ('be', 1), ('a', 1), (""tatter'd"", None), ('weed', 1), ('', None), ('of', 1), ('small', 1), ('worth', 1), ('held', 1), ('', None))"
Sonnet II,2,"Then being ask'd where all thy beauty lies,/Where all the treasure of thy lusty days,","('then', 'being', ""ask'd"", 'where', 'all', 'thy', 'beauty', 'lies', ',', '/', 'where', 'all', 'the', 'treasure', 'of', 'thy', 'lusty', 'days', ',')","('then', 'being', ""ask'd"", 'where', 'all', 'thy', 'beauty', 'lies', '', 'where', 'all', 'the', 'treasure', 'of', 'thy', 'lusty', 'days', '')","(('then', 1), ('being', 2), (""ask'd"", None), ('where', 1), ('all', 1), ('thy', 1), ('beauty', 2), ('lies', 1), (',', 0), ('/', 0), ('where', 1), ('all', 1), ('the', 1), ('treasure', 2), ('of', 1), ('thy', 1), ('lusty', 2), ('days', 1), (',', 0))","(('then', 1), ('being', 2), (""ask'd"", None), ('where', 1), ('all', 1), ('thy', 1), ('beauty', 2), ('lies', 1), ('', None), ('where', 1), ('all', 1), ('the', 1), ('treasure', 2), ('of', 1), ('thy', 1), ('lusty', 2), ('days', 1), ('', None))"
