title,line number,line
Sonnet I,0,"FROM fairest creatures we desire increase,"
Sonnet I,1,"That thereby beauty's rose might never die,"
Sonnet I,2,"But as the riper should by time decease,"
Sonnet I,3,His tender heir might bear his memory:
Sonnet I,4,"But thou, contracted to thine own bright eyes,"
Sonnet I,5,"Feed'st thy light'st flame with self-substantial fuel,"
Sonnet I,6,"Making a famine where abundance lies,"
Sonnet I,7,"Thyself thy foe, to thy sweet self too cruel."
Sonnet I,8,Thou that art now the world's fresh ornament
Sonnet I,9,"And only herald to the gaudy spring,"
Sonnet I,10,Within thine own bud buriest thy content
Sonnet I,11,"And, tender churl, makest waste in niggarding."
Sonnet I,12,"  Pity the world, or else this glutton be,"
Sonnet I,13,"  To eat the world's due, by the grave and thee."
Sonnet II,0,"When forty winters shall beseige thy brow,"
Sonnet II,1,"And dig deep trenches in thy beauty's field,"
Sonnet II,2,"Thy youth's proud livery, so gazed on now,"
Sonnet II,3,"Will be a tatter'd weed, of small worth held:"
Sonnet II,4,"Then being ask'd where all thy beauty lies,"
Sonnet II,5,"Where all the treasure of thy lusty days,"
Sonnet II,6,"To say, within thine own deep-sunken eyes,"
Sonnet II,7,Were an all-eating shame and thriftless praise.
Sonnet II,8,"How much more praise deserved thy beauty's use,"
Sonnet II,9,If thou couldst answer 'This fair child of mine
Sonnet II,10,"Shall sum my count and make my old excuse,'"
Sonnet II,11,Proving his beauty by succession thine!
Sonnet II,12,"  This were to be new made when thou art old,"
Sonnet II,13,  And see thy blood warm when thou feel'st it cold.
Sonnet III,0,"Look in thy glass, and tell the face thou viewest"
Sonnet III,1,Now is the time that face should form another;
Sonnet III,2,"Whose fresh repair if now thou not renewest,"
Sonnet III,3,"Thou dost beguile the world, unbless some mother."
Sonnet III,4,For where is she so fair whose unear'd womb
Sonnet III,5,Disdains the tillage of thy husbandry?
Sonnet III,6,Or who is he so fond will be the tomb
Sonnet III,7,"Of his self-love, to stop posterity?"
Sonnet III,8,"Thou art thy mother's glass, and she in thee"
Sonnet III,9,Calls back the lovely April of her prime:
Sonnet III,10,So thou through windows of thine age shall see
Sonnet III,11,Despite of wrinkles this thy golden time.
