title,line number,line,itemized,itemized_no_punc,annotated,annotated_no_punc
Sonnet I,0,"FROM fairest creatures we desire increase,","('from', 'fairest', 'creatures', 'we', 'desire', 'increase', ',')","('from', 'fairest', 'creatures', 'we', 'desire', 'increase', '')","(('from', 1), ('fairest', 2), ('creatures', 2), ('we', 1), ('desire', 3), ('increase', 2), (',', 0))","(('from', 1), ('fairest', 2), ('creatures', 2), ('we', 1), ('desire', 3), ('increase', 2), ('', None))"
Sonnet I,1,"That thereby beauty's rose might never die,","('that', 'thereby', ""beauty's"", 'rose', 'might', 'never', 'die', ',')","('that', 'thereby', ""beauty's"", 'rose', 'might', 'never', 'die', '')","(('that', 1), ('thereby', 2), (""beauty's"", None), ('rose', 1), ('might', 1), ('never', 2), ('die', 1), (',', 0))","(('that', 1), ('thereby', 2), (""beauty's"", None), ('rose', 1), ('might', 1), ('never', 2), ('die', 1), ('', None))"
Sonnet I,2,"But as the riper should by time decease,","('but', 'as', 'the', 'riper', 'should', 'by', 'time', 'decease', ',')","('but', 'as', 'the', 'riper', 'should', 'by', 'time', 'decease', '')","(('but', 1), ('as', 1), ('the', 1), ('riper', None), ('should', 1), ('by', 1), ('time', 1), ('decease', 2), (',', 0))","(('but', 1), ('as', 1), ('the', 1), ('riper', None), ('should', 1), ('by', 1), ('time', 1), ('decease', 2), ('', None))"
Sonnet I,3,His tender heir might bear his memory:,"('his', 'tender', 'heir', 'might', 'bear', 'his', 'memory', ':')","('his', 'tender', 'heir', 'might', 'bear', 'his', 'memory', '')","(('his', 1), ('tender', 2), ('heir', 1), ('might', 1), ('bear', 1), ('his', 1), ('memory', 3), (':', None))","(('his', 1), ('tender', 2), ('heir', 1), ('might', 1), ('bear', 1), ('his', 1), ('memory', 3), ('', None))"
Sonnet I,4,"But thou, contracted to thine own bright eyes,","('but', 'thou', ',', 'contracted', 'to', 'thine', 'own', 'bright', 'eyes', ',')","('but', 'thou', '', 'contracted', 'to', 'thine', 'own', 'bright', 'eyes', '')","(('but', 1), ('thou', 1), (',', 0), ('contracted', 3), ('to', 1), ('thine', 1), ('own', 1), ('bright', 1), ('eyes', 1), (',', 0))","(('but', 1), ('thou', 1), ('', None), ('contracted', 3), ('to', 1), ('thine', 1), ('own', 1), ('bright', 1), ('eyes', 1), ('', None))"
Sonnet I,5,"Feed'st thy light'st flame with self-substantial fuel,","(""feed'st"", 'thy', ""light'st"", 'flame', 'with', 'self', '-', 'substantial', 'fuel', ',')","(""feed'st"", 'thy', ""light'st"", 'flame', 'with', 'self', 'substantial', 'fuel', '')","((""feed'st"", None), ('thy', 1), (""light'st"", None), ('flame', 1), ('with', 1), ('self', 1), ('-', 0), ('substantial', 3), ('fuel', 2), (',', 0))","((""feed'st"", None), ('thy', 1), (""light'st"", None), ('flame', 1), ('with', 1), ('self', 1), ('substantial', 3), ('fuel', 2), ('', None))"
Sonnet I,6,"Making a famine where abundance lies,","('making', 'a', 'famine', 'where', 'abundance', 'lies', ',')","('making', 'a', 'famine', 'where', 'abundance', 'lies', '')","(('making', 2), ('a', 1), ('famine', 2), ('where', 1), ('abundance', 3), ('lies', 1), (',', 0))","(('making', 2), ('a', 1), ('famine', 2), ('where', 1), ('abundance', 3), ('lies', 1), ('', None))"
Sonnet I,7,"Thyself thy foe, to thy sweet self too cruel.","('thyself', 'thy', 'foe', ',', 'to', 'thy', 'sweet', 'self', 'too', 'cruel', '.')","('thyself', 'thy', 'foe', '', 'to', 'thy', 'sweet', 'self', 'too', 'cruel', '')","(('thyself', 2), ('thy', 1), ('foe', 1), (',', 0), ('to', 1), ('thy', 1), ('sweet', 1), ('self', 1), ('too', 1), ('cruel', 2), ('.', 0))","(('thyself', 2), ('thy', 1), ('foe', 1), ('', None), ('to', 1), ('thy', 1), ('sweet', 1), ('self', 1), ('too', 1), ('cruel', 2), ('', None))"
Sonnet I,8,Thou that art now the world's fresh ornament,"('thou', 'that', 'art', 'now', 'the', ""world's"", 'fresh', 'ornament')","('thou', 'that', 'art', 'now', 'the', ""world's"", 'fresh', 'ornament')","(('thou', 1), ('that', 1), ('art', 1), ('now', 1), ('the', 1), (""world's"", 1), ('fresh', 1), ('ornament', 3))","(('thou', 1), ('that', 1), ('art', 1), ('now', 1), ('the', 1), (""world's"", 1), ('fresh', 1), ('ornament', 3))"
Sonnet I,9,"And only herald to the gaudy spring,","('and', 'only', 'herald', 'to', 'the', 'gaudy', 'spring', ',')","('and', 'only', 'herald', 'to', 'the', 'gaudy', 'spring', '')","(('and', 1), ('only', 2), ('herald', 2), ('to', 1), ('the', 1), ('gaudy', 2), ('spring', 1), (',', 0))","(('and', 1), ('only', 2), ('herald', 2), ('to', 1), ('the', 1), ('gaudy', 2), ('spring', 1), ('', None))"
