previous_word,one_word,one_word_next,two_word,two_word_next,three_gram,three_word_next
"('\n', 0)","('from', 1)","('fairest', 2)","(('from', 'fairest'), None)","('creatures', 2)","(('from', 'fairest', 'creatures'), None)","('we', 1)"
"('from', 1)","('fairest', 2)","('creatures', 2)","(('fairest', 'creatures'), None)","('we', 1)","(('fairest', 'creatures', 'we'), None)","('desire', 3)"
"('fairest', 2)","('creatures', 2)","('we', 1)","(('creatures', 'we'), None)","('desire', 3)","(('creatures', 'we', 'desire'), None)","('increase', 2)"
"('creatures', 2)","('we', 1)","('desire', 3)","(('we', 'desire'), None)","('increase', 2)","(('we', 'desire', 'increase'), None)","(',', 0)"
"('we', 1)","('desire', 3)","('increase', 2)","(('desire', 'increase'), None)","(',', 0)","(('desire', 'increase', ','), None)","('\n', 0)"
"('desire', 3)","('increase', 2)","(',', 0)","(('increase', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('increase', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('that', 1)","('thereby', 2)","(('that', 'thereby'), None)","(""beauty's"", None)","(('that', 'thereby', ""beauty's""), None)","('rose', 1)"
"('that', 1)","('thereby', 2)","(""beauty's"", None)","(('thereby', ""beauty's""), None)","('rose', 1)","(('thereby', ""beauty's"", 'rose'), None)","('might', 1)"
"('thereby', 2)","(""beauty's"", None)","('rose', 1)","((""beauty's"", 'rose'), None)","('might', 1)","((""beauty's"", 'rose', 'might'), None)","('never', 2)"
"(""beauty's"", None)","('rose', 1)","('might', 1)","(('rose', 'might'), None)","('never', 2)","(('rose', 'might', 'never'), None)","('die', 1)"
"('rose', 1)","('might', 1)","('never', 2)","(('might', 'never'), None)","('die', 1)","(('might', 'never', 'die'), None)","(',', 0)"
"('might', 1)","('never', 2)","('die', 1)","(('never', 'die'), None)","(',', 0)","(('never', 'die', ','), None)","('\n', 0)"
"('never', 2)","('die', 1)","(',', 0)","(('die', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('die', 1)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('but', 1)","('as', 1)","(('but', 'as'), None)","('the', 1)","(('but', 'as', 'the'), None)","('riper', None)"
"('but', 1)","('as', 1)","('the', 1)","(('as', 'the'), None)","('riper', None)","(('as', 'the', 'riper'), None)","('should', 1)"
"('as', 1)","('the', 1)","('riper', None)","(('the', 'riper'), None)","('should', 1)","(('the', 'riper', 'should'), None)","('by', 1)"
"('the', 1)","('riper', None)","('should', 1)","(('riper', 'should'), None)","('by', 1)","(('riper', 'should', 'by'), None)","('time', 1)"
"('riper', None)","('should', 1)","('by', 1)","(('should', 'by'), None)","('time', 1)","(('should', 'by', 'time'), None)","('decease', 2)"
"('should', 1)","('by', 1)","('time', 1)","(('by', 'time'), None)","('decease', 2)","(('by', 'time', 'decease'), None)","(',', 0)"
"('by', 1)","('time', 1)","('decease', 2)","(('time', 'decease'), None)","(',', 0)","(('time', 'decease', ','), None)","('\n', 0)"
"('time', 1)","('decease', 2)","(',', 0)","(('decease', ','), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('decease', 2)","(',', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('his', 1)","('tender', 2)","(('his', 'tender'), None)","('heir', 1)","(('his', 'tender', 'heir'), None)","('might', 1)"
"('his', 1)","('tender', 2)","('heir', 1)","(('tender', 'heir'), None)","('might', 1)","(('tender', 'heir', 'might'), None)","('bear', 1)"
"('tender', 2)","('heir', 1)","('might', 1)","(('heir', 'might'), None)","('bear', 1)","(('heir', 'might', 'bear'), None)","('his', 1)"
"('heir', 1)","('might', 1)","('bear', 1)","(('might', 'bear'), None)","('his', 1)","(('might', 'bear', 'his'), None)","('memory', 3)"
"('might', 1)","('bear', 1)","('his', 1)","(('bear', 'his'), None)","('memory', 3)","(('bear', 'his', 'memory'), None)","(':', None)"
"('bear', 1)","('his', 1)","('memory', 3)","(('his', 'memory'), None)","(':', None)","(('his', 'memory', ':'), None)","('\n', 0)"
"('his', 1)","('memory', 3)","(':', None)","(('memory', ':'), None)","('\n', 0)","('\n', 0)","('\n', 0)"
"('memory', 3)","(':', None)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)","('\n', 0)"
"('\n', 0)","('but', 1)","('thou', 1)","(('but', 'thou'), None)","(',', 0)","(('but', 'thou', ','), None)","('contracted', 3)"
"('but', 1)","('thou', 1)","(',', 0)","(('thou', ','), None)","('contracted', 3)","(('thou', ',', 'contracted'), None)","('to', 1)"
